Equipo Objetivo;Equipo Rival;Y;pot_ataque_obj;pot_defensa_riv;goles_favor_obj;goles_contra_riv;mundial_anterior;mejores_cuatro;puntaje_fifa_obj;puntaje_fifa_riv;cabeza_serie_obj;cabeza_serie_riv;ranking_fifa_obj;ranking_fifa_riv
Alemania;Costa Rica;4;85;65;3.4;2;1;1;696;683;1;0;19;26
Costa Rica;Alemania;2;67;82;0.75;1.4;1;0;683;696;0;1;26;19
Polonia;Ecuador;0;74;65;1.33;1;1;0;677;631;0;0;29;39
Ecuador;Polonia;2;67;71;0.6;0.83;1;0;631;677;0;0;39;29
Inglaterra;Paraguay;1;91;69;3.67;1;1;0;741;653;1;0;10;33
Paraguay;Inglaterra;0;79;86;1;0.67;1;0;653;741;0;1;33;10
Trinidad y Tobago;Suecia;0;67;76;1;1;0;0;604;709;0;0;47;16
Suecia;Trinidad y Tobago;0;85;65;0.4;1.8;1;0;709;604;0;0;16;47
Argentina;Costa de Marfil;2;87;65;2;0.91;1;0;746;669;1;0;9;32
Costa de Marfil;Argentina;1;67;85;1.36;1.5;0;0;669;746;0;1;32;9
Serbia y Montenegro;Paêses Bajos;0;67;65;1;0.5;0;0;610;768;0;0;44;3
Paêses Bajos;Serbia y Montenegro;1;67;65;1.25;0.5;0;0;768;610;0;0;3;44
M_xico;Ri de Irön;3;72;65;1.13;1.5;1;0;758;686;1;0;4;24
Ri de Irön;M_xico;1;67;69;3.5;0.88;1;0;686;758;0;1;24;4
Angola;Portugal;0;67;83;1.6;0.33;0;0;581;750;0;0;57;7
Portugal;Angola;1;86;65;3.33;1.6;1;0;750;581;0;0;7;57
Australia;Japãn;3;83;65;2;1;0;0;612;705;0;0;42;18
Japãn;Australia;1;67;72;1.89;0.75;1;0;705;612;0;0;18;42
Estados Unidos;Rep“blica Checa;0;74;79;1.73;0.5;1;0;756;772;0;0;6;2
Rep“blica Checa;Estados Unidos;3;85;74;2;0.73;0;0;772;756;0;0;2;6
Italia;Ghana;2;88;65;1.67;1.11;1;0;728;600;1;0;13;48
Ghana;Italia;0;67;88;1.11;0.67;0;0;600;728;0;1;48;13
Rep“blica de Corea;Togo;2;67;65;1;1.29;1;1;677;569;0;0;30;61
Togo;Rep“blica de Corea;1;67;65;0.57;0.67;0;0;569;677;0;0;61;30
Francia;Suiza;0;92;78;1.75;1;1;0;749;648;1;0;8;35
Suiza;Francia;0;79;84;2.25;0.75;0;0;648;749;0;1;35;8
Brasil;Croacia;1;92;81;2.5;1.43;1;1;827;686;1;0;1;23
Croacia;Brasil;0;80;86;2;0;1;0;686;827;0;1;23;1
Espa_a;Ucrania;4;86;65;1.75;0;1;0;756;609;1;0;5;45
Ucrania;Espa_a;0;67;85;2;0.75;0;0;609;756;0;1;45;5
T“nez;Arabia Saudita;2;69;65;1.44;1.38;1;0;693;651;0;0;21;34
Arabia Saudita;T“nez;2;67;68;1.08;0.67;1;0;651;693;0;0;34;21
Alemania;Polonia;1;85;71;3.4;0.83;1;1;696;677;1;0;19;29
Polonia;Alemania;0;74;82;1.33;1.4;1;0;677;696;0;1;29;19
Ecuador;Costa Rica;3;67;65;0.6;2;1;0;631;683;0;0;39;26
Costa Rica;Ecuador;0;67;65;0.75;1;1;0;683;631;0;0;26;39
Inglaterra;Trinidad y Tobago;2;91;65;3.67;1.8;1;0;741;604;1;0;10;47
Trinidad y Tobago;Inglaterra;0;67;86;1;0.67;0;0;604;741;0;1;47;10
Suecia;Paraguay;1;85;69;0.4;1;1;0;709;653;0;0;16;33
Paraguay;Suecia;0;79;76;1;1;1;0;653;709;0;0;33;16
