pais;pot_ataque;pot_defensa;goles_favor;goles_contra;mundial_anterior;mejores_cuatro;puntaje_fifa;cabeza_serie;ranking_fifa
Egipto;69;69;0.5;1.5;0;0;636;0;46
Rusia;80;76;0.5;3.0;1;0;493;1;66
Arabia Saudita;69;69;1.5;1.5;0;0;462;0;67
Uruguay;86;79;1.5;0.0;1;0;976;0;17
Ri de Iran;69;69;1.8;0.5;1;0;727;0;36
Marruecos;69;69;2.0;0.5;0;0;681;0;42
Portugal;85;80;1.0;2.0;1;0;1306;1;4
Espana;84;86;3.5;1.0;1;0;1162;0;8
Australia;69;71;0.5;2.0;1;0;700;0;40
Dinamarca;75;77;0.5;0.0;0;0;1054;0;12
Francia;83;82;2.5;2.0;1;0;1166;1;7
Peru;73;71;2.5;0.5;0;0;1106;0;11
Argentina;87;80;1.5;3.0;1;1;1254;1;5
Croacia;69;69;0.5;1.0;1;0;975;0;18
Nigeria;69;69;0.5;1.0;1;0;635;0;47
Islandia;73;69;1.7;2.3;0;0;930;0;22
Brasil;86;85;2.0;0.0;1;1;1384;1;2
Costa Rica;69;69;0.5;0.5;1;0;858;0;25
Serbia;69;69;1.5;1.0;0;0;732;0;35
Suiza;74;77;3.5;0.0;1;0;1179;0;6
Alemania;81;84;0.5;1.0;1;1;1544;1;1
Mexico;79;76;1.3;0.3;1;0;1008;0;15
Suecia;76;76;0.7;1.3;0;0;889;0;23
Republica de Corea;69;69;1.4;1.4;1;0;520;0;61
Belgica;86;85;4.0;0.0;1;0;1346;1;3
Inglaterra;84;81;1.0;0.5;1;0;1040;0;13
Panama;69;69;0.3;2.3;0;0;574;0;55
Tunez;69;69;1.0;0.0;0;0;1012;0;14
Colombia;81;78;1.5;1.0;1;0;989;0;16
Japon;69;69;1.0;1.5;1;0;528;0;60
Senegal;69;69;0.5;0.5;0;0;825;0;28
Polonia;82;79;1.5;1.5;0;0;1128;1;10
