Equipo Objetivo;Equipo Rival;Y;pot_ataque_obj;pot_defensa_riv;goles_favor_obj;goles_contra_riv;mundial_anterior;mejores_cuatro;puntaje_fifa_obj;puntaje_fifa_riv;cabeza_serie_obj;cabeza_serie_riv;ranking_fifa_obj;ranking_fifa_riv
Alemania;Argelia;2;84;66;2.25;0.67;1;1;1300;858;1;0;2;22
Alemania;Argentina;1;85;85;3.4;1.5;1;1;696;746;1;1;19;9
Alemania;Argentina;4;84;78;2.25;0.6;1;1;1082;1076;1;1;6;7
Alemania;Argentina;1;84;78;2.25;0;1;1;1300;1175;1;1;2;5
Alemania;Australia;4;84;73;2.25;1.2;1;1;1082;886;1;0;6;20
Alemania;Brasil;7;84;83;2.25;0;1;1;1300;1242;1;1;2;3
Alemania;Costa Rica;4;85;65;3.4;2;1;1;696;683;1;0;19;26
Alemania;Ecuador;3;85;65;3.4;1;1;1;696;631;1;0;19;39
Alemania;Espana;0;84;83;2.25;0.5;1;1;1082;1565;1;1;6;2
Alemania;Estados Unidos;1;84;69;2.25;1;1;1;1300;1035;1;0;2;13
Alemania;Francia;1;84;80;2.25;0.25;1;1;1300;913;1;0;2;17
Alemania;Ghana;1;84;64;2.25;1.11;1;1;1082;800;1;0;6;32
Alemania;Ghana;2;84;66;2.25;0.67;1;1;1300;704;1;0;2;37
Alemania;Inglaterra;4;84;84;2.25;1;1;1;1082;1068;1;1;6;8
Alemania;Italia;0;85;88;3.4;0.67;1;1;696;728;1;1;19;13
Alemania;Polonia;1;85;71;3.4;0.83;1;1;696;677;1;0;19;29
Alemania;Portugal;3;85;83;3.4;0.33;1;1;696;750;1;0;19;7
Alemania;Portugal;4;84;80;2.25;0.5;1;1;1300;1189;1;0;2;4
Alemania;Serbia;0;84;64;2.25;0.8;1;1;1082;947;1;0;6;15
Alemania;Suecia;2;85;76;3.4;1;1;1;696;709;1;0;19;16
Alemania;Uruguay;3;84;78;2.25;1;1;1;1082;899;1;0;6;16
Angola;Mexico;0;67;69;1.6;0.88;0;0;581;758;0;1;57;4
Angola;Portugal;0;67;83;1.6;0.33;0;0;581;750;0;0;57;7
Angola;Ri de Iran;1;67;65;1.6;1.5;0;0;581;686;0;0;57;24
Arabia Saudita;Espana;0;67;85;1.08;0.75;1;0;651;756;0;1;34;5
Arabia Saudita;Tunez;2;67;68;1.08;0.67;1;0;651;693;0;0;34;21
Arabia Saudita;Ucrania;0;67;65;1.08;0;1;0;651;609;0;0;34;45
Argelia;Alemania;1;68;82;2.33;0.75;1;0;858;1300;0;1;22;2
